sku	description	category	unit_price	quantity_on_hand	reorder_point
SKU-TO-1001	Pneumatic Floor Cleat Nailer	Tools	198.13	91	50
SKU-TO-1002	Pneumatic Floor Cleat Nailer Premium	Tools	186.05	7	25
SKU-TO-1003	Pro Notch Flooring Trowel Premium	Tools	11.75	689	200
SKU-FL-1004	Cork Flooring Acoustic Underlay Premium	Flooring	2.68	206	250
SKU-FL-1005	Reclaimed Barnwood Plank Eco	Flooring	6.21	151	50
SKU-FL-1006	Engineered Maple Flooring HD	Flooring	3.54	595	250
SKU-FL-1007	Cork Flooring Acoustic Underlay Premium	Flooring	2.59	37	100
SKU-TO-1008	Dead Blow Mallet 24oz Premium	Tools	14.31	7	25
SKU-AD-1009	Premium Flooring Urethane Glue Pro-Series	Adhesives	48.3	316	100
SKU-FL-1010	Porcelain Wood-Look Tile Eco	Flooring	1.84	271	75
SKU-TO-1011	Pneumatic Floor Cleat Nailer Premium	Tools	194.1	278	150
SKU-AD-1012	Subfloor High-Tack Adhesive Eco	Adhesives	8.89	484	200
SKU-TO-1013	Dead Blow Mallet 24oz	Tools	14.42	83	25
SKU-AD-1014	Premium Flooring Urethane Glue Pro-Series	Adhesives	48.72	356	150
SKU-FL-1015	Cork Flooring Acoustic Underlay HD	Flooring	3.02	531	200
SKU-FL-9991	Premium Hardwood Red Oak Plank (Critical)	Flooring	5.25	8	100
SKU-AD-1017	Epoxy Anchor Resin Twin Pack Pro-Series	Adhesives	18.28	46	25
SKU-FL-1018	Luxury Vinyl Tile Slate HD	Flooring	2.24	369	100
SKU-TO-1019	Laser Distance Measure 165ft Premium	Tools	84.7	46	25
SKU-TO-1020	Laser Distance Measure 165ft Eco	Tools	72.86	100	100
SKU-TO-1021	Laser Distance Measure 165ft Premium	Tools	83.14	515	150
SKU-AD-1022	Epoxy Anchor Resin Twin Pack Pro-Series	Adhesives	17.79	200	50
SKU-FL-1023	Porcelain Wood-Look Tile HD	Flooring	1.76	175	75
SKU-FL-1024	Hardwood Oak Plank 5in Pro-Series	Flooring	4.84	15	25
SKU-FL-1025	Luxury Vinyl Tile Slate Pro-Series	Flooring	2.27	158	150
SKU-TO-1026	Precision Contour Gauge Tool Pro-Series	Tools	10.85	530	250
SKU-TO-1027	Laser Distance Measure 165ft HD	Tools	86.82	789	200
SKU-AD-1028	Premium Flooring Urethane Glue Pro-Series	Adhesives	42.52	70	75
SKU-FL-1029	Premium Bamboo Flooring	Flooring	3.11	17	200
SKU-FL-1030	Porcelain Wood-Look Tile	Flooring	1.96	151	75
SKU-TO-1031	Heavy Duty Floor Scraper 12in Premium	Tools	34.52	169	50
SKU-FL-1032	Engineered Maple Flooring	Flooring	3.97	216	75
SKU-TO-1033	Pro Notch Flooring Trowel	Tools	11.4	371	200
SKU-FL-1034	Premium Bamboo Flooring Pro-Series	Flooring	3.42	136	50
SKU-AD-1035	Epoxy Anchor Resin Twin Pack	Adhesives	18.04	425	250
SKU-FL-1036	Hardwood Oak Plank 5in	Flooring	4.88	741	250
SKU-AD-1037	Tile Mortar Thinset Polymer Mod Pro-Series	Adhesives	15.83	25	25
SKU-AD-1038	Silicone Waterproof Sealant Clear HD	Adhesives	4.59	758	200
SKU-FL-1039	Premium Bamboo Flooring Eco	Flooring	3.21	39	25
SKU-TO-1040	Dead Blow Mallet 24oz	Tools	13.88	210	100
SKU-FL-1041	Engineered Maple Flooring Pro-Series	Flooring	3.52	62	25
SKU-AD-1042	Premium Flooring Urethane Glue Premium	Adhesives	42.72	20	150
SKU-AD-1043	Wood Glue Max Strength 16oz Eco	Adhesives	5.17	531	200
SKU-AD-1044	Industrial Contact Cement 1G Eco	Adhesives	28.26	334	250
SKU-AD-1045	Premium Flooring Urethane Glue	Adhesives	45.34	373	150
SKU-AD-9992	Premium Flooring Urethane Glue 5G (Critical)	Adhesives	48	3	40
SKU-TO-1047	Pro Notch Flooring Trowel Premium	Tools	12	34	200
SKU-AD-1048	Premium Flooring Urethane Glue	Adhesives	47.18	118	50
SKU-TO-1049	Dead Blow Mallet 24oz Pro-Series	Tools	15.82	825	250
SKU-AD-1050	Heavy Duty Construction Adhesive	Adhesives	6.42	328	250
SKU-AD-1051	Industrial Contact Cement 1G Eco	Adhesives	26.57	348	100
SKU-TO-1052	Pro Notch Flooring Trowel	Tools	11.44	296	200
SKU-AD-1053	Industrial Contact Cement 1G HD	Adhesives	26.38	300	75
SKU-FL-1054	Porcelain Wood-Look Tile Pro-Series	Flooring	2.02	199	200
SKU-TO-1055	Precision Contour Gauge Tool Premium	Tools	10.49	110	50
SKU-AD-1056	Heavy Duty Construction Adhesive Pro-Series	Adhesives	6.55	202	75
